__label__g	i want to listen to some a capella
__label__m	im excited
__label__s	play lauv getting over you
__label__g	i want to hear some soundtrack
__label__s	play despacito
__label__g	i want to listen to some indie
__label__s	play only want you
__label__g	can you play some rock
__label__s	play gorgeous
__label__s	play lean on
__label__m	loud
__label__s	play crank that (soulja boy) by soulja boy
__label__s	play feels great (feat. fetty wap & cvbz) by cheat codes
__label__s	play wisin escápate conmigo (feat. ozuna)
__label__s	play bed (feat. ariana grande) by nicki minaj
__label__s	play 1999
__label__s	play lonely together (feat. rita ora)
__label__s	play all these years by camila cabello
__label__s	play your shirt
__label__g	can you play some pop
__label__s	play best mistake by ariana grande
__label__s	play backstreet boys no place
__label__s	play pussy is god
__label__s	play love language by kehlani
__label__s	play summer
__label__s	play take me out
__label__s	play death of a hero
__label__m	i am bored
__label__s	play irreplaceable
__label__m	i want to hear something acoustic
__label__s	play best mistake
__label__s	play trust fund baby
__label__m	play me something happy
__label__g	i want to hear some movie
__label__s	play 7/11
__label__m	i want to hear something happy
__label__m	im sad
__label__s	play tonight tonight by hot chelle rae
__label__s	play ariana grande best mistake
__label__s	play chunky
__label__s	play cheerleader - felix jaehn remix radio edit
__label__s	play hailee steinfeld rock bottom
__label__m	play some sad song
__label__s	play baby
__label__s	play night changes
__label__g	i want to hear some world
__label__s	play britney spears oops!...i did it again
__label__s	play morning glory
__label__s	play chantaje (feat. maluma)
__label__m	play something to focus
__label__g	play some random children’s music song
__label__g	play some movie
__label__m	give me something fast
__label__s	play true colors (feat. maya avedis) by xo cupid
__label__s	play crying in the club
__label__s	play trey songz slow motion
__label__m	i am happy
__label__s	play p!nk so what
__label__s	play empire of the sun walking on a dream
__label__s	play bed (feat. ariana grande)
__label__s	play niall horan seeing blind
__label__s	play nicki minaj only
__label__s	play jonas brothers year 3000
__label__m	i need to focus
__label__s	play justin bieber baby
__label__s	play halsey colors
__label__s	play u remind me
__label__s	play chi chi (feat. chris brown) by trey songz
__label__s	play foolish by ashanti
__label__s	play george michael faith - remastered
__label__m	sad
__label__s	play she looks so perfect
__label__s	play galantis runaway (u & i)
__label__s	play last friday night (t.g.i.f.)
__label__s	play zayn entertainer
__label__s	play promiscuous
__label__m	play me something for concentration
__label__g	play some random jazz song
__label__g	play some random indie song
__label__s	play right now (na na na) by akon
__label__s	play b.o.b headband (feat. 2 chainz)
__label__s	play amnesia by 5 seconds of summer
__label__s	play too much to ask by niall horan
__label__g	can you play some movie
__label__g	play some world
__label__s	play whatever you like
__label__s	play 1999 by charli xcx
__label__s	play soulja boy crank that (soulja boy)
__label__s	play king princess pussy is god
__label__s	play cold water by major lazer
__label__s	play rockabye (feat. sean paul & anne-marie) by clean bandit
__label__g	play some random soul song
__label__m	i am feeling really happy
__label__g	play some hip-hop
__label__s	play head above water
__label__s	play the black eyed peas pump it
__label__s	play gorgeous by taylor swift
__label__s	play wild thoughts (feat. rihanna & bryson tiller) by dj khaled
__label__s	play rihanna pon de replay
__label__m	what is trending
__label__s	play whatever you like by t.i.
__label__s	play kehlani morning glory
__label__s	play waiting for love
__label__s	play dumb blonde (feat. nicki minaj)
__label__s	play pitbull timber
__label__s	play heart attack
__label__g	i want to listen to some children’s music
__label__m	play some acoustic song
__label__s	play daya hide away
__label__s	play youth by troye sivan
__label__s	play rewrite the stars - wideboys hands in the air remix by anne-marie
__label__g	play some random anime song
__label__s	play kacey musgraves wonder woman
__label__s	play kehlani love language
__label__g	i want to hear some children’s music
__label__s	play beyoncé if i were a boy
__label__g	can you play some hip-hop
__label__s	play what do you mean?
__label__s	play just for a moment (feat. iselin)
__label__s	play chris brown look at me now
__label__s	play ayo by chris brown
__label__s	play you're such a
__label__s	play why did you do that? by lady gaga
__label__s	play lady gaga born this way
__label__s	play solita (feat. rich the kid)
__label__s	play paparazzi by lady gaga
__label__s	play dj khaled wild thoughts (feat. rihanna & bryson tiller)
__label__s	play seeing blind
__label__s	play niall horan too much to ask
__label__s	play pharrell williams happy
__label__s	play headband (feat. 2 chainz) by b.o.b
__label__s	play feels great (feat. fetty wap & cvbz)
__label__s	play shawn mendes nervous
__label__s	play love language
__label__s	play bruno mars the lazy song
__label__s	play remember (with zohara) by gryffin
__label__s	play getting over you
__label__s	play night changes by one direction
__label__m	i am feeling sad
__label__s	play david guetta don't leave me alone (feat. anne-marie)
__label__s	play born this way
__label__s	play don’t blame me
__label__s	play hands to myself by selena gomez
__label__s	play baby by justin bieber
__label__s	play lady gaga paparazzi
__label__s	play major lazer lean on
__label__m	im really stressed
__label__s	play unwritten by natasha bedingfield
__label__s	play fool for you by zayn
__label__s	play ashanti foolish
__label__m	give me something happy
__label__s	play anne-marie perfect to me - back n fourth remix
__label__s	play bleeding love
__label__s	play noah cyrus make me (cry)
__label__s	play jessie's girl by rick springfield
__label__s	play charli xcx 1999
__label__s	play if i were a boy by beyoncé
__label__m	give me something sad
__label__s	play charlotte lawrence stole your car
__label__s	play bebe rexha bad bitch (feat. ty dolla $ign)
__label__s	play faith - remastered
__label__g	i want to listen to some folk
__label__s	play replay
__label__g	i want to hear some electronic
__label__g	play some folk
__label__s	play selena gomez the heart wants what it wants
__label__g	i want to listen to some r&b
__label__g	i want to hear some a capella
__label__s	play youth
__label__s	play t.i. whatever you like
__label__s	play walking on a dream
__label__g	can you play some comedy
__label__s	play perfect to me - back n fourth remix by anne-marie
__label__s	play zayn fool for you
__label__s	play teenager in love
__label__s	play you're such a by hailee steinfeld
__label__s	play selena gomez fetish (feat. gucci mane)
__label__s	play faith - remastered by george michael
__label__s	play chasing fire by lauv
__label__s	play the nights by avicii
__label__s	play this town by niall horan
__label__s	play lean on by major lazer
__label__g	i want to hear some reggae
__label__s	play kiwi
__label__s	play death of a hero by alec benjamin
__label__s	play dnce truthfully
__label__s	play truthfully
__label__s	play wild thoughts (feat. rihanna & bryson tiller)
__label__s	play flames by david guetta
__label__s	play alec benjamin death of a hero
__label__s	play make me (cry) by noah cyrus
__label__s	play ariana grande borderline (feat. missy elliott)
__label__g	i want to listen to some soundtrack
__label__g	play some random a capella song
__label__s	play why did you do that?
__label__g	play some classical
__label__s	play leona lewis bleeding love
__label__g	i want to listen to some pop
__label__s	play summer by calvin harris
__label__g	play some children’s music
__label__s	play avicii hey brother
__label__s	play sweet but psycho - morgan page remix
__label__g	i want to listen to some soul
__label__s	play glad you came
__label__s	play bruno mars chunky
__label__g	i want to hear some blues
__label__m	play something popular
__label__s	play head above water by avril lavigne
__label__s	play 5 seconds of summer she looks so perfect
__label__s	play perfect to me - back n fourth remix
__label__s	play akon don't matter
__label__s	play runaway (u & i) by galantis
__label__s	play beyoncé 7/11
__label__s	play tonight tonight
__label__g	i want to hear some pop
__label__m	i wanna dance
__label__g	play some random blues song
__label__s	play if i were a boy
__label__s	play lady gaga heal me
__label__g	can you play some anime
__label__s	play 7/11 by beyoncé
__label__s	play irreplaceable by beyoncé
__label__s	play so what
__label__s	play fetish (feat. gucci mane)
__label__g	i want to hear some indie
__label__s	play cold water
__label__s	play promiscuous by nelly furtado
__label__m	im bored
__label__s	play despacito by luis fonsi
__label__s	play don't leave me alone (feat. anne-marie)
__label__s	play chantaje (feat. maluma) by shakira
__label__s	play you & me by james tw
__label__s	play entertainer by zayn
__label__s	play my my my! by troye sivan
__label__g	play some random comedy song
__label__s	play clandestino by shakira
__label__s	play borderline (feat. missy elliott) by ariana grande
__label__s	play back to you by selena gomez
__label__s	play we found love
__label__s	play born this way by lady gaga
__label__s	play chunky by bruno mars
__label__s	play trust fund baby by why don't we
__label__s	play nicki minaj bed (feat. ariana grande)
__label__s	play oops!...i did it again
__label__g	play some r&b
__label__s	play niall horan this town
__label__s	play nelly furtado promiscuous
__label__s	play rockabye (feat. sean paul & anne-marie)
__label__s	play willow wait a minute!
__label__m	im feeling really happy
__label__s	play colors by halsey
__label__s	play loyal
__label__s	play kream (feat. tyga) by iggy azalea
__label__s	play a million dreams by p!nk
__label__m	bad songs
__label__s	play true colors (feat. maya avedis)
__label__s	play one direction night changes
__label__s	play wake me up before you go-go
__label__g	play some soundtrack
__label__s	play only want you by rita ora
__label__s	play taylor swift wildest dreams
__label__s	play year 3000 by jonas brothers
__label__m	im angry
__label__s	play beyoncé irreplaceable
__label__s	play lauv chasing fire
__label__m	happy songs
__label__s	play airplanes (feat. hayley williams) by b.o.b
__label__s	play chris brown ayo
__label__s	play heart attack by demi lovato
__label__m	acoustic
__label__m	i am excited
__label__g	i want to listen to some comedy
__label__s	play fetish (feat. gucci mane) by selena gomez
__label__g	play some soul
__label__m	i am feeling happy
__label__g	i want to hear some hip-hop
__label__g	play crank that (soulja boy)
__label__s	play selena gomez back to you
__label__s	play bad bitch (feat. ty dolla $ign) by bebe rexha
__label__g	play some electronic
__label__g	can you play some children’s music
__label__m	play some loud music
__label__m	i am really excited
__label__g	can you play some classical
__label__s	play seeing blind by niall horan
__label__s	play échame la culpa by luis fonsi
__label__s	play wildest dreams
__label__s	play wrecking ball by miley cyrus
__label__s	play camila cabello all these years
__label__s	play rick springfield jessie's girl
__label__s	play taylor swift gorgeous
__label__s	play don't leave me alone (feat. anne-marie) by david guetta
__label__s	play gryffin remember (with zohara)
__label__s	play timber by pitbull
__label__s	play james tw you & me
__label__s	play only
__label__s	play échame la culpa
__label__g	play some rock
__label__g	i want to hear some jazz
__label__g	play some random electronic song
__label__s	play want to by dua lipa
__label__s	play avicii lonely together (feat. rita ora)
__label__s	play friends
__label__s	play bubbly by colbie caillat
__label__g	i want to listen to some electronic
__label__m	im feeling miserable
